Region,GDP,Population,GDP_Per_Capita,Life_Expectancy,Mean Years of Schooling
Africa,35733.51685393258,15425333.333333334,4824.460674157303,64.11235955056179,5.948863636363637
Americas,767548.3111111111,25237219.51219512,19694.82222222222,75.68888888888888,9.16
Eastern Mediterranean,270847.86363636365,41850000.0,16282.181818181818,73.68181818181819,7.5227272727272725
Europe,426758.84375,16649548.387096774,34354.65625,78.078125,11.2140625
South-East Asia,519174.8461538461,159646923.07692307,10385.923076923076,72.46153846153847,6.384615384615385
Western Pacific,890636.0303030303,82578347.82608695,12509.030303030304,74.21212121212122,9.896875
