Country,GDP,Population,GDP_per_Capita
Bhutan,2540,770000.0,3298
Central African Republic,2383,4800000.0,496
Cabo Verde,2315,560000.0,4133
"Gambia, The",2273,,0
St. Lucia,2065,180000.0,11472
San Marino,1855,34000.0,54558
Antigua and Barbuda,1758,98000.0,17938
Guinea-Bissau,1634,2000000.0,817
Solomon Islands,1596,700000.0,2280
Seychelles,1588,98000.0,16204
Sint Maarten (Dutch part),1572,,0
Grenada,1256,110000.0,11418
Comoros,1243,870000.0,1428
Turks and Caicos Islands,1139,38000.0,29973
Vanuatu,984,310000.0,3174
St. Kitts and Nevis,962,53000.0,18150
St. Vincent and the Grenadines,949,110000.0,8627
Northern Mariana Islands,858,57000.0,15052
Samoa,832,200000.0,4160
American Samoa,709,55000.0,12890
Dominica,612,72000.0,8500
São Tomé and Principe,547,,0
Tonga,469,,0
"Micronesia, Fed. Sts.",427,,0
Marshall Islands,280,,0
Kiribati,223,,0
Palau,218,,0
Nauru,151,,0
Tuvalu,60,,0
Venezuela,482400,28000000.0,17228
Central African Rep.,2500,4800000.0,520
Dem. Rep. Congo,55000,90000000.0,611
Gabon,20220,2200000.0,9190
Gabon,20220,2200000.0,9190
Congo,5350,5500000.0,972
Iran,359700,84000000.0,4282
Iran,359700,84000000.0,4282
Turkey,819000,84000000.0,9750
Turkey,819000,84000000.0,9750
Egypt,404100,104000000.0,3885
Egypt,404100,104000000.0,3885
Czechia,281800,11000000.0,25618
Slovakia,116500,5400000.0,21574
Slovakia,116500,5400000.0,21574
Dominican Rep.,94240,11000000.0,8567
S. Sudan,12000,11000000.0,1090
Eritrea,2065,3500000.0,590
Somaliland,1600,3500000.0,457
Yemen,26980,30000000.0,899
Syria,64000,18000000.0,3555
Kyrgyzstan,21000,6500000.0,3230
Laos,18000,7300000.0,2465
North Korea,40000,25000000.0,1600
South Korea,1640000,52000000.0,31538
Taiwan,602000,24000000.0,25083
W. Sahara,906,600000.0,1510
Bosnia and Herz.,19500,3300000.0,5909
Macedonia,10600,2100000.0,5047
