Country,GDP,Population,GDP_per_Capita
Monaco,8596,,inf
Togo,8126,8278737.0,981.5506882269602
Somalia,8126,15893219.0,511.28723514097425
Bermuda,7551,,inf
Liechtenstein,7186,,inf
Isle of Man,6684,,inf
Maldives,6190,,inf
Guam,6123,,inf
Montenegro,6096,1.0,6096000000.0
French Polynesia,6080,,inf
Cayman Islands,6028,,inf
Barbados,5638,,inf
Fiji,4943,1.0,4943000000.0
Eswatini,4854,1160164.0,4183.891242962202
Virgin Islands (U.S.),4204,,inf
Liberia,4001,5057677.0,791.074637625139
Sierra Leone,3970,7976985.0,497.6817682369968
Faroe Islands,3650,,inf
Suriname,3621,586634.0,6172.502787087008
Djibouti,3515,988002.0,3557.6851059005953
Andorra,3352,,inf
Greenland,3236,1.0,3236000000.0
Timor-Leste,3163,1268000.0,2494.4794952681386
Aruba,3126,,inf
Burundi,3073,11890781.0,258.4355056240629
Belize,2824,397621.0,7102.240575824718
Curaçao,2700,,inf
Lesotho,2553,1.0,2553000000.0
Bhutan,2540,771612.0,3291.809873356039
Central African Republic,2383,4829764.0,493.3988493019535
Cabo Verde,2315,548800.0,4218.294460641399
"Gambia, The",2273,,inf
St. Lucia,2065,,inf
San Marino,1855,,inf
Antigua and Barbuda,1758,,inf
Guinea-Bissau,1634,1874000.0,871.931696905016
Solomon Islands,1596,707851.0,2254.7117966916767
Seychelles,1588,,inf
Sint Maarten (Dutch part),1572,,inf
Grenada,1256,,inf
Comoros,1243,869595.0,1429.4010430142769
Turks and Caicos Islands,1139,,inf
Vanuatu,984,33469199.0,29.40016580617899
St. Kitts and Nevis,962,,inf
St. Vincent and the Grenadines,949,,inf
Northern Mariana Islands,858,,inf
Samoa,832,,inf
American Samoa,709,,inf
Dominica,612,,inf
São Tomé and Principe,547,,inf
Tonga,469,,inf
"Micronesia, Fed. Sts.",427,,inf
Marshall Islands,280,,inf
Kiribati,223,,inf
Palau,218,,inf
Nauru,151,,inf
Tuvalu,60,,inf
Venezuela,482400,1.0,482400000000.0
Central African Rep.,2500,1.0,2500000000.0
Dem. Rep. Congo,55000,1.0,55000000000.0
Gabon,20220,2225728.0,9084.66802771947
Congo,5350,5518092.0,969.538021475539
Iran,359700,1.0,359700000000.0
Turkey,819000,84339067.0,9710.802231189016
Egypt,404100,102334403.0,3948.818658765225
Czechia,281800,1.0,281800000000.0
Slovakia,116500,1.0,116500000000.0
Dominican Rep.,94240,1.0,94240000000.0
S. Sudan,12000,1.0,12000000000.0
Eritrea,2065,3546427.0,582.2761895282209
Somaliland,1600,1.0,1600000000.0
Yemen,26980,29825968.0,904.5808672496396
Syria,64000,1.0,64000000000.0
Kyrgyzstan,21000,6524191.0,3218.7898852133544
Laos,18000,1.0,18000000000.0
North Korea,40000,25970000.0,1540.2387370042356
South Korea,1640000,51640000.0,31758.326878388845
Taiwan,602000,1.0,602000000000.0
W. Sahara,906,1.0,906000000.0
Bosnia and Herz.,19500,1.0,19500000000.0
Macedonia,10600,1.0,10600000000.0
